attendance_id,student_id,date_attended,status,subject_id,school_id,recorded_by,recorded_time,teacher_id,remarks
120,4688,06-04-2024,Present,416,38,Samantha Collins,29-04-2024 11:10,793,Fly notice close religious west every any.
121,1104,30-01-2025,Absent,226,8,Shannon Mitchell,02-10-2024 17:10,213,Activity its add.
122,5051,12-12-2024,Absent,393,80,Jasmine Perez,21-01-2025 20:18,821,Follow technology put body.
123,8857,19-11-2024,Present,366,45,Mercedes Wilson,15-04-2024 21:47,599,Director major learn age by.
124,19013,21-12-2024,Present,273,89,Madison Turner,06-07-2024 17:10,80,Environmental population leave sort only event opportunity.
125,6446,30-08-2024,Present,141,7,Cory Sharp,04-08-2024 16:36,742,Heavy far theory together news foot buy wall.
126,606,23-07-2024,Absent,235,90,Richard Logan,14-05-2024 12:40,411,Hundred wife early major story.
127,6467,03-08-2024,Absent,179,58,Jack Espinoza,18-09-2024 15:49,251,Whose drop face instead generation as.
128,4075,09-10-2024,Absent,469,93,Cory Brooks,21-04-2024 21:23,565,Artist scene road around account stock whole.
129,7421,07-03-2024,Absent,117,9,Janet Patterson,04-12-2024 21:14,353,Evening all subject speech each picture notice.
130,2186,27-10-2024,Absent,15,45,Terry Smith,02-01-2025 22:20,376,Poor Mr although.
131,8376,20-04-2024,Present,362,70,Megan Rivera,20-11-2024 19:09,484,Green bit sister physical impact.
132,10259,28-11-2024,Present,462,30,Shane Wright,21-05-2024 02:23,490,Election even successful no evening.
133,4887,01-11-2024,Present,16,48,Sarah Johnson,25-07-2024 21:28,204,Clearly goal man record do range.
134,19713,18-12-2024,Absent,440,25,Jason Rodriguez,10-12-2024 10:39,638,Involve floor success business financial soldier population look.
135,7932,24-09-2024,Present,207,24,Julie Thomas,27-01-2025 18:36,243,Tv evidence red sing trade start why.
136,11069,16-06-2024,Present,342,99,Ashley Rubio,28-09-2024 10:51,632,Music west window tell institution center.
137,12002,20-10-2024,Absent,396,22,Amanda Hoffman,05-10-2024 07:18,654,Among truth who save around after south.
138,10777,03-07-2024,Present,21,100,Robert Diaz,08-01-2025 05:15,420,Off mouth represent make.
139,13035,20-05-2024,Present,297,79,Tammy Meyer,29-05-2024 01:53,921,Free market together full across table.
140,9113,29-11-2024,Absent,100,19,Teresa Atkinson,09-03-2024 15:59,800,Side example open election behind drive.
141,16615,22-06-2024,Absent,360,35,Nathan Mcdonald,13-01-2025 06:34,298,Our financial let newspaper.
142,10975,28-01-2025,Present,161,66,Ann Barrett,12-07-2024 00:00,991,Others style ahead amount service.
143,5397,05-04-2024,Present,108,63,Eric Miller,05-02-2024 09:03,212,Street area speak method hundred.
144,4522,09-09-2024,Absent,494,68,Dr. Kelly Allen,17-08-2024 21:13,815,Low clearly audience.
145,8259,14-06-2024,Absent,43,10,Julie Malone,26-05-2024 00:58,517,Participant produce truth industry.
146,2589,23-11-2024,Present,161,36,Christopher Sanchez,03-06-2024 08:06,70,Stage maybe order simply son give.
147,2922,28-11-2024,Absent,346,95,Jesus Espinoza,14-11-2024 21:05,597,Base direction cause begin in.
148,8515,18-01-2025,Present,339,78,Miranda Moran,01-09-2024 15:11,487,System truth win wait idea.
149,14363,18-07-2024,Present,365,59,April Collins,21-11-2024 09:28,21,Per chair ten huge woman organization.
150,15083,01-08-2024,Present,225,89,Veronica Butler,13-04-2024 20:08,786,Tv along property and shoulder commercial.
151,10301,03-11-2024,Absent,409,16,Natalie Higgins,02-11-2024 14:09,893,Early give section safe situation investment recent.
152,11944,25-08-2024,Present,337,9,Michele Fisher,02-04-2024 17:49,195,Nor themselves let finally.
153,5556,26-07-2024,Absent,77,80,Martha Oconnor,22-01-2025 20:46,626,Threat reduce court bring commercial tonight hour yeah.
154,14465,18-09-2024,Absent,475,52,Sandra Schmidt,09-04-2024 10:27,563,Look hundred join moment professional than as.
155,3222,07-08-2024,Absent,468,81,Glenn Cherry,05-07-2024 04:42,742,Change rather arm participant really.
156,4152,08-03-2024,Present,440,24,Kevin Gutierrez,25-05-2024 12:53,76,Under test movement population.
157,12163,13-07-2024,Present,441,15,Austin Williams,25-05-2024 22:55,318,Knowledge on five gun.
158,15799,19-07-2024,Absent,364,99,Seth Thomas,29-01-2025 13:08,518,Per bed they bar certainly.
159,4374,26-04-2024,Absent,270,34,Stefanie Thomas,08-04-2024 06:11,505,Professional community west lead.
160,14221,13-12-2024,Absent,172,43,Cathy Cameron MD,11-05-2024 22:33,151,Fish when cover base church.
161,4130,07-02-2024,Present,330,79,Adam Greer,23-04-2024 04:21,414,Within item story brother of.
162,16776,11-09-2024,Present,114,83,Kirsten Diaz,01-09-2024 09:32,28,Minute alone want practice adult always evening.
163,7454,12-11-2024,Present,38,40,Catherine Shelton,17-09-2024 08:31,392,Speech bad kid.
164,17971,12-04-2024,Present,52,24,Melissa Mcknight,25-10-2024 19:35,799,National moment discussion must true far.
165,17318,05-07-2024,Present,31,40,Jeffrey Richard,21-07-2024 20:34,511,Last treatment project early edge.
166,332,01-08-2024,Present,459,63,Robert Vance,04-12-2024 20:36,379,Board must region key recently likely would respond.
167,2764,07-01-2025,Present,94,38,Courtney Koch,27-01-2025 22:59,277,Unit fish present moment trade impact director.
168,10361,12-04-2024,Absent,406,47,Jose Williams,16-02-2024 19:51,558,Sister stop figure song open reveal degree.
169,13477,01-04-2024,Present,144,42,Hannah Hudson,22-04-2024 02:12,231,Business police become care policy around list.
170,7515,09-05-2024,Absent,48,97,Tammy Singh,01-07-2024 07:33,748,Wall space save individual million.
171,4635,13-06-2024,Present,309,23,Brian Burns,24-07-2024 08:43,86,Moment sound material turn must hear.
172,14664,06-03-2024,Present,120,43,Jeffrey Murillo,12-06-2024 11:36,781,Himself seat situation later single movement.
173,10176,02-04-2024,Present,141,100,David Rivers,12-09-2024 03:32,893,Wind ok home read.
174,7426,23-04-2024,Present,439,22,John Cummings,25-05-2024 02:52,123,Long realize beat leader especially everyone.
175,6536,12-02-2024,Absent,88,88,Jennifer Palmer,21-06-2024 13:13,624,Today hair treat security.
176,14390,16-06-2024,Present,357,44,Jenny Skinner,08-02-2024 18:01,466,Mention discover catch lay.
177,18361,22-11-2024,Absent,376,6,Dr. Andres Cuevas,15-10-2024 12:54,136,Officer stand their international.
178,16827,03-10-2024,Present,81,33,Jeremy Lowe,08-08-2024 00:00,310,Question team fine energy.
179,19248,31-08-2024,Absent,111,93,Teresa Wright,20-02-2024 13:32,916,Thus model measure material decade.
180,15673,13-02-2024,Absent,434,69,Jennifer Miller,14-10-2024 01:35,954,Commercial arm pressure citizen.
181,3651,22-01-2025,Absent,65,64,Daniel Thompson,02-05-2024 02:47,656,Next condition discussion various scientist later single.
182,16076,06-03-2024,Absent,201,92,Lawrence Giles,21-06-2024 09:03,205,Military grow series Congress world board scientist.
183,1430,08-10-2024,Absent,164,35,Chad Scott,21-06-2024 07:12,714,Little almost tax.
184,13961,14-01-2025,Present,179,82,Daniel Baker,12-02-2024 06:55,704,Once study specific eat able wife teach.
185,11742,10-08-2024,Present,374,51,Kyle Foster,03-04-2024 03:25,844,Make tax visit score rise college focus.
186,16060,07-07-2024,Present,28,54,Cameron Carey,21-10-2024 08:43,766,American herself open three together.
187,16102,25-08-2024,Present,90,15,Austin Byrd,23-10-2024 08:47,593,Themselves turn room interview activity want.
188,4189,24-02-2024,Absent,380,83,Tina Hardy,26-01-2025 04:46,11,Model off this adult drop consumer third.
189,7342,15-02-2024,Absent,2,29,James Powers,15-01-2025 19:40,943,Few yeah people center floor.
190,13703,03-06-2024,Present,491,41,Christopher Perry,04-05-2024 22:49,610,Off ask improve standard.
191,10378,30-12-2024,Absent,386,14,Lauren Edwards,19-06-2024 21:53,166,Offer section material but himself daughter.
192,8931,25-08-2024,Absent,141,65,Luke Wheeler,28-06-2024 03:41,216,Than final community recent.
193,8900,12-07-2024,Absent,107,49,Kristin Long,06-09-2024 06:07,934,Himself daughter act create view.
194,3109,22-02-2024,Absent,93,4,Cathy Petersen,28-05-2024 11:10,572,Politics reflect brother until six.
195,12806,28-10-2024,Present,380,78,Kyle Luna,14-10-2024 22:12,27,Weight popular month.
196,5300,31-10-2024,Absent,286,8,Rebecca Brown,09-10-2024 09:39,391,School tell position lose short side land.
197,3317,04-04-2024,Absent,36,92,Stephanie Brown,03-07-2024 00:39,823,Capital own physical appear second product check.
198,13718,19-02-2024,Absent,469,95,Jamie Gould MD,05-10-2024 10:56,290,Gun capital none her significant.
199,14843,08-04-2024,Present,235,91,Matthew Chan,11-05-2024 02:26,587,Nor land write peace enjoy behavior identify.
200,12047,04-04-2024,Present,9,60,Wendy Hernandez,01-08-2024 00:26,644,Reduce its dark energy.
201,16311,20-12-2024,Present,463,64,Monica Martin,25-06-2024 06:42,413,Total think story each trade.
202,18333,04-10-2024,Absent,313,17,John Bray,04-05-2024 18:27,710,Agreement down surface another set determine resource yard.
203,8884,30-11-2024,Absent,120,98,Katie Dixon,25-11-2024 05:59,663,Space head increase success partner.
204,9654,11-06-2024,Present,120,31,Jason Barnes,14-10-2024 17:42,948,Me government road investment.
205,304,15-02-2024,Absent,132,22,Tyler Lopez,14-07-2024 17:04,440,Card animal catch soon.
206,18413,20-04-2024,Absent,406,93,Juan Parks,15-02-2024 01:16,585,Focus and worker when mean attorney.
207,11701,27-11-2024,Absent,67,55,Thomas Ramirez,26-09-2024 19:38,643,But expect daughter recognize by.
208,18617,11-08-2024,Present,221,72,Randall Hardy,14-03-2024 01:24,276,Scene common despite question.
209,19176,09-05-2024,Absent,314,14,Wayne Hines,02-10-2024 13:26,937,Course alone concern wear none.
210,9416,19-08-2024,Absent,148,13,Renee Scott,25-02-2024 18:33,208,Add network behavior for ahead.
211,14773,11-10-2024,Absent,180,66,Kelsey Jensen,03-08-2024 18:45,566,A world through song top security large.
212,5818,23-08-2024,Present,400,66,Micheal Bailey,04-10-2024 19:30,767,Something well might general society mother.
213,11507,30-09-2024,Absent,41,16,Joshua Gonzales,01-06-2024 03:34,152,Three present food seem.
214,4120,26-03-2024,Absent,335,39,Lauren Singh,01-05-2024 20:52,515,I message situation agent many include.
215,758,12-11-2024,Present,378,68,Jacob Taylor,20-05-2024 02:41,932,Call safe instead.
216,5452,26-02-2024,Present,195,23,Lauren Collier,05-08-2024 04:37,293,Price in sign size line remember kind.
217,7630,16-08-2024,Present,321,32,Timothy Duke,22-10-2024 09:52,871,Middle others east two skill it town.
218,6943,14-08-2024,Absent,91,70,Angel Espinoza,15-12-2024 13:29,610,Performance economic entire serious unit instead government toward.
219,6059,08-07-2024,Absent,421,49,Justin Wilkerson,18-11-2024 16:35,264,Matter range group.
220,17402,15-01-2025,Present,253,32,Kelly Jackson,23-01-2025 19:37,955,Buy forget base Mrs save change debate difficult.
221,5239,01-09-2024,Absent,446,30,Jacob Brown,22-10-2024 01:49,422,Major hour capital phone a.
222,16978,08-01-2025,Absent,50,100,Tammy Sanchez,22-02-2024 16:23,609,Threat fire land.
223,8578,24-12-2024,Present,112,38,Nathan Andrews,09-06-2024 02:56,600,Out score share tax responsibility understand population.
224,9099,23-01-2025,Present,217,1,Fernando Drake,04-03-2024 12:58,913,Story citizen body old skin evidence case.
225,19208,12-04-2024,Present,140,18,Jason Rodriguez,09-12-2024 23:20,380,National team crime poor once.
226,13719,30-12-2024,Absent,185,40,Hannah Long,03-06-2024 01:26,597,Sea list baby book.
227,3944,29-12-2024,Absent,231,63,Michael Olson,28-03-2024 20:47,367,Yes respond before Congress.
228,647,24-05-2024,Present,93,34,Cynthia Martinez,17-06-2024 13:59,238,Head teach local white huge small.
229,7497,04-10-2024,Present,19,24,Alicia Lane,31-03-2024 20:57,392,Plant Congress total paper control fish.
230,7223,01-01-2025,Absent,327,77,Megan Tapia,22-02-2024 04:10,348,Attorney poor art.
231,14024,17-01-2025,Absent,67,75,Jennifer Pollard,07-04-2024 00:55,475,View view majority able trouble.
232,16192,10-11-2024,Absent,230,6,Benjamin Huff,25-11-2024 19:46,995,Trial book evening personal third line sometimes.
233,11259,09-04-2024,Present,57,4,Donald Hall,09-09-2024 02:01,74,Professional trouble middle skin under cost official choose.
234,10177,29-10-2024,Absent,426,52,Susan Harris,30-09-2024 16:04,938,Too personal moment ball American cause.
235,4144,07-09-2024,Present,126,25,Michael Roman,25-05-2024 14:08,581,Member similar difference community young wear.
236,8312,06-08-2024,Present,500,59,Colton Maxwell,12-01-2025 23:29,506,Management policy recognize much plant expect.
237,12108,20-08-2024,Present,311,33,Kelly Davis,15-06-2024 14:09,820,Over upon provide law surface.
238,4916,19-07-2024,Absent,500,21,Robert Mason,18-02-2024 18:07,592,Huge cover sea say doctor official game.
239,8552,19-01-2025,Present,443,46,Douglas Johnson,11-08-2024 04:22,163,Whether occur dog involve.
240,3206,22-09-2024,Absent,29,41,Michael Watson,19-08-2024 02:18,230,Group third would enjoy perform.
241,1982,02-04-2024,Absent,305,8,Peggy Brown,28-03-2024 20:28,646,Charge side manager daughter value deep yourself.
242,2719,19-10-2024,Absent,497,92,Debra Dodson,26-06-2024 02:53,679,Increase any travel road him show.
243,7651,29-06-2024,Absent,327,81,Ellen Powell,07-12-2024 23:17,764,One central person bar left cover tell.
244,19434,12-09-2024,Absent,346,34,Jody Rodriguez MD,15-06-2024 14:40,930,Company professor resource talk foreign able.
245,16187,21-10-2024,Present,77,48,Gregory Johnson,06-02-2024 13:16,71,Bad day central response understand natural manage.
246,16379,11-06-2024,Present,102,100,Amber Rodriguez,07-09-2024 17:30,983,Both low yes deep heart against.
247,17422,27-11-2024,Absent,179,91,Alexis Fitzpatrick,14-10-2024 15:12,476,Until too newspaper great life.
248,4501,26-05-2024,Absent,143,72,Denise Hamilton,11-02-2024 19:31,347,Card new room score.
249,14708,27-01-2025,Absent,242,45,Karen Henderson,23-04-2024 17:30,298,Rate party across term often.
250,17159,25-10-2024,Present,483,70,Chad Brown,29-02-2024 01:09,334,Reflect of parent professor brother.
251,13964,03-10-2024,Present,67,53,Alyssa Williams,20-03-2024 15:03,873,Feel property nothing easy.
252,5312,20-04-2024,Absent,239,54,Alexis Tran,22-04-2024 04:32,840,Professor identify sit important we series subject know.
253,771,25-04-2024,Present,160,4,Justin Valencia,31-03-2024 21:49,444,From cup detail mention alone.
254,19798,08-07-2024,Absent,273,52,Dakota Clay,27-11-2024 03:35,143,Knowledge reason find soldier group.
255,14807,21-03-2024,Absent,13,53,Steven Ortiz,06-07-2024 13:13,168,Team body budget center hear ago.
256,2418,02-11-2024,Absent,19,21,Gregory Munoz,07-06-2024 03:54,40,Face probably answer gun natural business ready.
257,11959,01-09-2024,Absent,405,15,Christine West,06-05-2024 03:03,93,Put owner sport meeting yet work total once.
258,10093,16-01-2025,Present,230,12,Michelle Thompson,18-03-2024 16:01,621,Figure American glass as instead room Mrs.
259,5035,30-04-2024,Absent,467,68,Kelly Valdez,15-12-2024 09:36,167,Night serve require dog part today.
260,9626,20-10-2024,Present,186,34,John Thomas,25-06-2024 22:28,719,Early sport per sit although sea.
261,9422,29-06-2024,Absent,147,42,Shelley Atkins,11-04-2024 18:53,64,Rise director bad apply work management.
262,18343,16-03-2024,Present,134,75,Courtney Taylor,26-06-2024 08:57,825,Opportunity sit book her know discussion about.
