notification_id,student_id,type,message,created_at,status,recipient_contact,sent_by,school_id,priority
33,15269,SMS,Matter sing morning magazine game them very fact.,2024-08-20 23:55:43,Pending,257-306-3472,Jeffrey Shannon,2,Medium
34,7351,SMS,Throughout another cost cost institution.,2024-11-19 12:20:02,Sent,001-608-563-9160x8468,Kimberly Anderson,47,High
35,9050,Email,Maybe cover forget responsibility truth determine mention.,2024-02-25 08:57:06,Failed,+1-752-207-7837x7202,Mrs. Kimberly Harding,55,Medium
36,17041,SMS,Step city peace artist themselves man part born.,2024-11-08 22:42:08,Failed,773.312.4258,Deborah Davis,68,High
37,6565,Email,Exactly future daughter store without.,2024-08-19 00:34:17,Sent,+1-830-619-8263x101,Kevin Ortega,60,Low
38,13179,Email,Federal today southern about drive.,2024-05-04 02:21:05,Failed,+1-566-884-7053x54543,Megan Pham,90,Low
39,8564,Push,American seem box realize ground bag bill practice.,2024-02-16 08:26:02,Pending,+1-757-542-2494x849,Ian Butler,11,Low
40,15435,Push,Lot management anyone network rest.,2024-05-13 20:03:07,Failed,478.661.6283,Julie Mccoy,45,Low
41,182,Push,Even opportunity stuff political attorney forget.,2024-03-02 01:00:57,Failed,(400)863-3676,Eric Clay,98,Low
42,5184,Push,Which now production start point the throw.,2024-02-09 02:21:29,Sent,+1-735-431-2829x5810,Alexandria Long,26,Medium
43,1216,Email,Present ground force trial hotel land able.,2024-11-27 12:16:32,Pending,001-427-900-7926x2931,Max Hernandez,89,Medium
44,10670,SMS,Skill that firm movement actually go.,2024-12-03 04:32:13,Failed,423.912.3729,Heather Andrews,44,Low
45,2313,Push,Ahead look region protect character particular big.,2024-03-02 22:08:41,Sent,377-576-1121x0941,Kristin Montgomery,74,High
46,4137,SMS,Camera shoulder now economy.,2024-09-04 04:21:29,Pending,(330)566-0085x31278,Jacqueline Spears,30,Low
47,2904,SMS,Reason effort chance.,2024-02-07 01:52:53,Failed,5012345423,Mary Kelly,25,High
48,2756,Push,Stock popular while home.,2025-01-03 15:02:19,Pending,(522)550-0183,Robert Fischer,50,High
49,16657,Push,Degree movement must office they.,2024-04-09 14:29:10,Pending,(731)351-7390x077,Nicole Simon,98,High
50,15297,Push,Case tell quite tax.,2024-06-29 05:00:47,Failed,405.447.0335x523,Jasmine Hernandez,20,Low
51,9576,Push,Environment south baby.,2024-08-04 02:10:27,Pending,(254)605-4984,Sarah Lewis,85,Low
52,8904,SMS,Speech clear black kind rich.,2024-11-05 03:20:08,Failed,6562811055,Ryan Silva,3,Low
53,3226,Email,Guy create do.,2024-09-05 22:58:30,Pending,(774)209-4641,Cynthia Fields,33,Medium
54,3956,Email,Party everybody leave anyone.,2024-03-05 20:30:32,Pending,+1-541-695-0890x471,Stephen Wood,88,High
55,17149,Push,Cultural life respond door trouble race.,2024-07-26 06:00:10,Pending,(275)445-7794,Jacob French,42,Medium
56,18177,SMS,Also act subject door.,2025-01-31 10:54:49,Failed,501-842-3480x5907,Victoria Jones,13,Low
57,11877,SMS,Health father current company.,2024-03-22 03:10:41,Sent,+1-540-250-6069,Claudia Brown,52,Low
58,12220,Email,Matter wife box.,2024-02-25 10:49:58,Failed,7883356749,Mark Evans,69,High
59,13907,Email,Stage sea music.,2024-07-10 20:32:08,Pending,+1-528-250-9692x854,Nancy May,92,Low
60,12723,Push,Alone system all early fall.,2024-04-09 06:16:30,Pending,9506386674,Sydney Pittman,21,High
61,3229,Push,Human read which send.,2024-05-17 14:55:46,Sent,001-831-871-0492x3084,Michael Thomas,53,Medium
62,14436,Email,Growth group fly drop give.,2024-07-13 09:18:22,Sent,665-213-8879x37497,Roy Stone,46,Medium
63,10377,SMS,Draw never relationship artist from hand growth.,2024-03-07 18:04:02,Pending,001-687-389-3123,Joseph Gallegos,16,Low
64,11733,Email,Side off television like place quality leave tax.,2024-09-17 05:41:26,Pending,597-808-0490x3196,Kathy Collins,32,High
65,1014,SMS,Far west action hand audience American bar become.,2024-11-25 06:56:20,Failed,(908)555-9936,Sue Braun,38,Low
66,10668,SMS,Happy tend exist.,2024-08-16 05:48:09,Pending,001-652-299-5941,Kenneth Wade,87,Low
67,8333,Email,Tend then raise military other.,2025-01-07 08:37:01,Failed,990-519-8596x14619,Cathy Lee,70,Medium
68,12963,Email,Majority sea single history.,2024-04-04 15:51:55,Pending,(305)384-0587x646,Richard Williams,96,High
69,19417,Email,House Mrs information major use.,2024-08-05 13:06:02,Failed,383.502.9630x2642,Jeremy Chapman,23,Medium
70,19920,SMS,Current picture baby house police evening song.,2024-09-20 05:07:05,Failed,(941)504-1070x84574,Heidi Hahn,82,Medium
71,18881,SMS,Last explain as explain condition defense break.,2024-03-17 20:05:01,Failed,9326457418,Mary Price,61,Medium
72,17530,SMS,Small method concern bit.,2024-02-01 13:29:58,Sent,4003972479,Sherri Hall,31,Medium
73,14385,Push,Will group great right poor lose use.,2024-08-01 14:46:17,Pending,+1-222-227-2967x941,Michael Smith,75,High
74,2358,Push,Reflect nearly hit drop.,2024-12-24 23:07:59,Sent,(237)654-1640x69970,Penny Reyes,97,Low
75,5682,SMS,Economy into purpose next rest its responsibility.,2024-03-29 02:52:58,Failed,(707)749-1716x148,Cynthia Price,44,Low
76,1319,SMS,Season why safe explain relationship sound rock.,2024-02-11 19:54:52,Pending,528.342.0182,Alexander Cooper,70,Medium
77,7359,Email,Sure all treat see strategy he side.,2024-04-18 09:53:30,Pending,780-388-2768,James Gordon,95,High
78,11656,Email,East baby measure Democrat everything key leave.,2024-10-16 12:15:30,Pending,001-746-933-3523x37709,Luis Hanna,84,High
79,14371,SMS,College pretty economy take.,2024-06-21 16:56:45,Pending,633.895.3410,Mitchell Tran,96,Medium
80,11613,Push,Nor structure detail can.,2024-08-16 18:54:26,Sent,001-883-978-2868x062,Emily Marshall,24,Low
81,9825,Email,Choose federal than material operation will player.,2025-01-07 23:31:42,Pending,(525)723-5309x32358,Anna Ponce,14,Low
82,17935,SMS,Voice might prove reveal near idea lay.,2024-07-25 11:49:04,Pending,807.672.9552,Nicole Lewis,41,Medium
83,18960,SMS,Science manage difference ask level.,2024-03-11 13:07:29,Pending,6027053745,Charles Ellis,88,Medium
84,15464,Push,His democratic management fund man note financial.,2025-01-26 02:50:49,Sent,001-867-259-8829,Amanda Gutierrez,23,High
85,14291,Email,Teacher natural become after avoid attention.,2024-02-02 13:55:13,Failed,3656582288,Denise Hickman,86,Low
86,2957,Email,Inside American course significant.,2025-01-28 07:47:00,Pending,330.630.2645x001,Joseph Taylor,23,High
87,5091,Email,Dream identify seven.,2024-09-25 10:39:17,Sent,339.856.6465,Theresa Sullivan,88,Medium
88,14676,Email,In statement allow report once.,2024-05-27 07:46:05,Failed,7794578186,Michael Mendoza,46,Medium
89,10858,SMS,Write wear avoid order establish education.,2024-07-18 06:20:12,Sent,371-806-1897,Ashley Phillips,80,Medium
90,3571,SMS,Whom your discover field away manage.,2024-11-13 15:19:10,Pending,(293)664-6839x03262,Anthony Perez,41,Low
91,16467,Email,Quality call our save admit measure cover.,2024-11-16 11:34:45,Sent,+1-531-569-2831,Kayla Cole,53,Low
92,3976,SMS,Office science yard game.,2024-05-27 15:41:37,Pending,599.266.1434x2786,Robert Long,73,High
93,16019,SMS,Arm standard recognize report which for like risk.,2024-05-04 11:29:26,Pending,001-962-955-2503,Scott Hess,80,High
94,2066,Push,Important through doctor player discussion world.,2024-08-04 19:14:18,Pending,342-689-4891x983,Mckenzie Willis,14,Low
95,3666,Email,Quickly together picture ask fund baby daughter.,2024-09-20 21:17:06,Pending,(336)381-1605x3145,David Lyons,21,Low
96,4706,Email,Congress degree particularly sit certainly mind.,2024-04-14 06:08:03,Failed,(916)928-7271x146,Jill Welch,64,Low
97,17466,SMS,Summer data design group general reveal.,2024-09-01 05:27:49,Pending,001-389-309-3099x37351,Frank Crane,15,Medium
98,19876,SMS,Beautiful their our employee course direction.,2024-02-06 01:53:34,Sent,832-760-5815,Nicholas Collins,44,Medium
99,7941,Email,Short report factor all identify join.,2024-06-21 04:34:44,Pending,+1-999-669-0402x4141,Cody Reynolds,63,Low
100,11227,Push,Skin close beautiful standard herself become.,2024-09-26 12:29:41,Pending,001-430-958-4885x120,Miguel Fletcher,10,Medium
101,11131,Push,Community kid keep focus card north.,2024-02-20 00:45:19,Sent,7486004858,Nathaniel Collier,17,High
102,2595,SMS,Money always without serve.,2024-11-17 14:23:34,Failed,(647)525-4032x537,Courtney Wilson,76,Low
103,4730,SMS,Reduce laugh step must according news similar none.,2024-02-07 23:19:56,Failed,+1-905-206-8369,Curtis Jones,55,High
104,10166,SMS,Life attack indeed chair each can.,2024-11-06 23:19:47,Sent,4855826662,Olivia Heath,43,Low
105,1095,Push,Protect drive center rich forward community up.,2024-05-13 00:54:13,Pending,+1-255-567-9241x05590,Linda Robinson,36,High
106,7101,SMS,Movement above couple support.,2024-02-08 22:26:24,Failed,(307)531-2834,Jeremy Smith,60,Medium
107,10552,Email,Win be sort hot audience generation.,2024-09-27 20:00:09,Sent,+1-818-846-9254x66924,Jessica Mcconnell,78,Low
108,6292,Email,Project reduce media effect exist policy back.,2024-06-14 17:56:02,Failed,(621)424-9479,James Sanders,25,High
109,10628,Push,Share him approach really table leg.,2024-05-06 15:05:16,Pending,2345943912,Gina Johnson,48,Low
110,18913,Email,Remain simple citizen.,2024-05-04 21:56:29,Pending,(545)322-5946,Kenneth Williams,47,High
111,10164,SMS,Skin room experience camera maintain when.,2024-02-18 07:20:29,Sent,346-788-3023x460,Roger Mccarty,59,High
112,15742,SMS,Any couple resource message local off suffer break.,2024-08-13 02:36:29,Pending,(245)315-2416x926,Ashlee Henry,95,High
113,7541,SMS,Make your suffer miss wall its job manager.,2024-08-25 09:53:17,Sent,001-460-906-7041x373,Michelle Thomas,1,High
114,10036,Email,Operation hot head hotel.,2024-02-26 17:43:09,Pending,001-878-274-1530x55711,Michael Wright,58,High
115,6580,Email,May charge listen student involve find will.,2024-04-26 23:27:52,Failed,(590)381-5728,Christine French,38,High
116,3596,SMS,Resource hot community their wear.,2024-11-30 14:22:36,Sent,584.585.7133x13902,Tiffany Walton,37,Medium
117,10344,Email,And test anything remain with ability center.,2024-02-27 11:35:03,Pending,001-204-918-3915x56288,Natalie Carey,12,Medium
118,1081,SMS,Development player blood rate drug vote thus.,2025-01-11 21:48:27,Pending,001-963-489-5982x30365,Heather Newton,93,Medium
119,12475,Email,Full now benefit relate itself.,2024-10-15 16:07:13,Sent,(638)593-1571x038,Cheryl Mcdonald,79,Low
120,18877,Email,Pm imagine policy society imagine effort.,2024-12-29 03:00:06,Sent,+1-605-683-5733x13735,David Woodward,17,Low
121,3232,Email,Picture although live cold.,2024-07-13 05:48:41,Sent,429-925-8433,Benjamin Lee,32,Medium
122,53,Email,Democrat sea include particular general.,2024-07-06 12:04:40,Sent,2972053751,Lindsay Shannon,35,High
123,9494,SMS,A collection rate very.,2024-11-10 00:37:39,Failed,(495)857-7479,Tiffany Alvarado,41,Medium
124,19248,Email,Writer cultural use cup.,2024-11-20 02:37:19,Pending,001-870-861-7539,Sierra Boyd,19,Medium
125,641,Email,New hear chance none two of.,2024-10-27 01:33:18,Failed,+1-418-705-6980,Andrew Mcneil,28,High
126,17008,SMS,Environmental our under.,2024-05-10 08:18:09,Pending,790.634.4021x534,Raven Harrell,69,Medium
127,8939,Push,Result buy thus deal child seat to.,2024-07-25 08:22:34,Pending,+1-475-732-1997,Richard Page,81,Medium
128,3914,Email,Check something police modern task trade subject.,2024-06-20 16:35:21,Failed,319.772.3640x85239,Vanessa Smith,16,Low
129,12360,Push,Majority economy specific raise food collection.,2024-07-10 07:35:29,Failed,001-456-267-4180x2946,Audrey Fleming,10,Low
130,8687,SMS,Recently enjoy short ball nor outside scene.,2024-06-25 13:51:32,Failed,950.945.0826,Lori Stuart,18,High
131,9306,Push,Teacher author possible according.,2024-06-02 13:15:46,Pending,(319)938-6323x19563,Jermaine Gonzalez,60,Medium
132,8725,Email,Thank project enter first.,2024-09-24 20:42:12,Pending,763.285.1141x21493,Bryan Smith,31,Medium
133,5058,Push,Prevent box get new where.,2024-07-08 04:30:43,Sent,728-795-9980x1916,Thomas Webb,78,High
134,12670,Email,Really foot against stop father.,2024-09-13 14:48:23,Failed,492.970.2545x8332,Christine Smith,61,High
135,1318,Push,Individual story admit green project contain she.,2024-04-06 15:16:57,Sent,407-396-4220x848,Vanessa Lara,39,Low
136,8412,Email,International moment condition technology.,2024-06-21 03:53:14,Failed,240-678-8625x81475,Roberta Jackson,17,Medium
137,7553,Push,Strong owner voice eight.,2024-02-04 16:34:35,Sent,001-687-361-6494x6048,Joshua Hammond,29,Medium
138,4333,SMS,Read evening public low data.,2024-02-18 20:08:57,Failed,831-360-3397x20986,Catherine Cruz,44,Low
139,196,SMS,Crime though travel learn.,2024-02-22 09:35:22,Failed,(992)462-7064x57860,Steve Jackson,92,High
140,2527,SMS,Shake four news at real threat reduce.,2024-07-27 11:49:01,Sent,(480)371-6884x1238,Jamie Lucas,69,Medium
141,13859,Push,Less keep responsibility which ten walk conference weight.,2024-02-10 20:43:55,Pending,001-645-854-7526,Mary Vaughn,7,Low
142,2117,SMS,Use cost result reality.,2024-02-12 05:07:34,Sent,806.514.9213,Mathew Anderson,51,Medium
143,11320,SMS,Office summer place.,2024-03-18 20:20:07,Failed,(321)751-1161,Kevin Villegas,3,Medium
144,15700,SMS,Pressure him game today.,2024-06-07 08:58:10,Pending,337-319-0578,Kathryn Holland,40,High
145,11955,SMS,Try sport structure name value later when.,2024-04-14 17:11:42,Failed,323-525-4843x5143,Anna Carter,60,Medium
146,2303,Email,Difficult gas billion picture property travel.,2024-09-29 09:43:08,Sent,412-442-8420x5062,Alexis Ortiz,35,Low
147,15877,Push,Large game moment popular task.,2024-02-29 17:14:14,Pending,001-536-674-8919x169,Lauren Williams,91,Low
148,11178,Email,Different there city fish near wish.,2024-12-30 03:04:21,Pending,001-483-611-2257x162,Stuart Rowe,7,High
149,16636,Email,Generation entire court compare.,2024-11-23 00:53:02,Sent,+1-682-712-9498,John Collins,94,Medium
150,2350,Email,White size matter say large.,2024-09-24 04:39:57,Sent,(376)821-9682x4846,Nicholas Allen,17,Medium
151,14755,Email,Of mouth responsibility need scientist phone.,2024-03-22 09:58:04,Pending,593.296.6760,Timothy Young,63,Low
152,1321,Email,Media fish their stuff these respond worry.,2024-09-24 21:25:28,Sent,+1-559-623-3166x5227,Jeffrey Richardson,53,High
153,16199,Email,Structure tonight environmental environmental.,2024-08-18 11:55:23,Failed,(970)470-5925,Jeremy Myers,90,Low
154,19556,Push,Appear hit both family chair through writer.,2024-11-30 06:01:12,Pending,773-312-8954,Sarah Moore,65,Medium
155,4536,Email,Son challenge no.,2024-04-24 04:34:04,Pending,251-601-3607,Natasha Johnson,85,High
156,16220,SMS,Investment summer structure local style leave.,2024-06-04 13:49:54,Pending,316-264-8629x14757,Jamie Carpenter DVM,87,High
157,13337,SMS,National watch upon write top way.,2024-08-29 04:29:02,Sent,9137132921,Ashley Alexander,84,Medium
158,18400,Push,Hand mouth often recognize notice difference.,2024-06-06 14:32:52,Pending,(965)221-2571x59905,Jessica Hodge,18,Low
159,14085,Push,Military at also civil town like pretty article.,2024-08-07 12:11:10,Failed,001-475-831-1265,Jared Foster,72,Medium
160,7689,SMS,My it budget son.,2024-05-14 21:34:40,Failed,+1-862-358-0006x038,Maria Butler,100,Medium
161,10045,SMS,Might inside together medical.,2025-01-22 03:04:01,Failed,001-795-795-8905x8546,Tammy Salinas,25,Medium
162,12909,Email,Option treatment citizen collection science.,2024-09-12 04:46:56,Failed,555-664-4631,Zachary Coleman,85,High
163,350,Push,Short business whole really surface magazine likely.,2024-03-24 23:17:49,Failed,001-506-883-9072x561,Scott Thompson,93,High
164,6868,Push,Official measure body.,2024-02-04 15:37:34,Pending,(937)229-2071x814,Anna Lambert,92,High
165,1573,Push,Size really course during record space night.,2025-01-25 07:54:01,Failed,489-468-5734x21406,Alexander Moore,65,High
166,14089,SMS,Save art teach newspaper force dinner.,2024-08-13 01:37:01,Failed,3126352892,Kara White,86,Low
167,8119,Push,Middle certain show inside physical.,2025-01-05 01:04:07,Pending,(715)728-6072x017,Kristin Odonnell,12,Medium
168,19662,Email,Tell prove professional of later girl statement.,2024-03-21 12:17:29,Sent,(979)486-4366x91640,Kevin King,57,Low
169,13855,Email,Conference always candidate of position.,2024-09-09 08:38:13,Pending,(776)521-6302x339,Drew Hernandez,92,High
170,19956,SMS,Once fear admit they street.,2024-10-10 01:23:17,Failed,+1-955-238-2573,Kimberly Berry PhD,88,High
171,14979,Email,Federal grow return.,2024-05-30 07:02:50,Sent,834.879.1586,Terri Rogers,44,Medium
172,3182,Push,Catch positive budget arrive.,2024-09-05 00:48:34,Sent,607.612.5599,Nicholas Mcdaniel,34,High
173,3138,Push,Do say learn drug.,2024-02-09 10:20:30,Sent,714.226.5020x5189,Kimberly Shelton,4,High
174,3068,Push,Name even main likely each word.,2024-05-06 14:34:06,Failed,(661)777-6188x24610,Barbara Hopkins,23,Low
175,1904,Email,Dinner century painting instead.,2024-11-19 20:55:15,Sent,+1-900-677-2222,John Hanna,96,Medium
176,12294,SMS,Well detail good create old.,2024-08-02 13:37:29,Sent,+1-594-906-3163,Christopher Black,17,Medium
177,7025,SMS,Level national so magazine when team kitchen.,2024-06-30 18:25:48,Sent,(398)459-1483x54486,Laurie Williams,36,High
178,2760,Email,Second tend character professional sit.,2024-05-18 01:37:18,Failed,2056085355,Ryan Parrish,68,Low
179,14169,Email,Also friend church cover trip detail.,2024-11-16 08:42:46,Failed,001-284-960-8347x81878,Alexa Taylor,50,High
180,7497,Push,Rather true ago scientist late college.,2024-05-27 04:18:29,Pending,+1-253-219-6754x4000,James Roach,21,Low
181,18934,Push,Here first position out.,2024-08-28 20:33:42,Sent,721-253-4902x04806,Morgan Christensen,84,High
182,8700,Email,Never past would scientist.,2024-08-14 11:24:34,Sent,3718584439,Patricia Khan,72,Low
183,11548,Push,Level amount better answer education culture never.,2024-12-12 03:27:06,Failed,(550)734-0297x6193,Erik Hutchinson,65,Low
184,10751,Email,Too pattern sister reveal wait responsibility.,2024-10-27 15:05:26,Failed,001-438-865-6680x950,Rachel Everett,98,Medium
185,5900,Push,Power red spend around.,2024-05-17 03:47:35,Pending,569-446-8408,Gary Collier,71,Low
186,2207,Push,Traditional arm start deep.,2024-08-20 14:15:18,Sent,853-212-1088x96371,Christopher Brown,56,High
187,5104,Email,When pull stock bed.,2024-02-09 17:20:26,Pending,738.345.3760x2338,Brandi Leonard,41,High
188,4693,Email,It television cup American.,2024-04-02 06:24:19,Failed,+1-686-624-0963,Shelly Rivera,92,Low
189,13734,Push,Within radio most event participant.,2024-07-24 05:44:56,Pending,702.566.2372x23096,Amanda Martin,42,High
190,4681,SMS,Contain no wind dark career local.,2024-02-04 05:40:46,Failed,+1-365-705-5051,Maria Wiley,49,High
191,8105,Email,Everyone population example.,2025-01-30 02:35:22,Pending,499-679-5452x573,Crystal Merritt,75,Medium
192,16228,Email,Together Congress anything cause skill.,2024-03-15 02:10:06,Pending,(527)822-5856,Monica Pitts,84,Medium
193,18930,SMS,Remember home bank idea.,2024-08-04 04:34:28,Failed,443-383-8049,Jonathan Robbins,87,Low
194,9257,SMS,Food customer argue structure give memory.,2024-03-09 15:47:06,Failed,(496)709-9859x00214,Elizabeth Raymond,87,Medium
195,19111,SMS,Account year ground hair main may.,2024-12-26 05:52:54,Pending,450-829-8025x69326,Matthew Short,23,High
196,5373,Email,Civil class affect nice region.,2024-09-16 09:14:30,Failed,(519)655-7604,Michelle Rodriguez,62,Low
197,3243,Push,Energy leader present start.,2024-03-22 01:46:52,Sent,(781)695-5968,Mark Kennedy,27,High
198,5024,SMS,Wife professor hour while.,2024-03-10 15:15:34,Sent,001-607-334-6553,Kimberly Beasley,76,Low
199,12822,Email,Current question maintain resource very perform direction.,2024-04-18 15:41:20,Pending,(609)910-9192,William Foster,41,High
200,18461,Email,Manage detail second position film discussion.,2025-01-15 23:47:21,Sent,+1-790-411-2115x6902,James Luna,98,Medium
201,10293,SMS,Control computer much.,2024-05-29 16:44:56,Pending,992.487.0589x490,Angel Meadows,52,Low
202,12407,Email,Those but democratic unit present artist daughter.,2024-08-09 10:29:00,Failed,428-922-7090,Katie Adkins,72,High
203,1708,Push,Program opportunity indicate five spend moment.,2024-04-07 07:43:33,Pending,+1-378-610-1893,Matthew Cole Jr.,19,Low
204,5236,Push,Table individual color him same establish.,2024-05-28 14:39:27,Failed,7416476646,Gregory Powell,34,High
205,2758,Email,Suddenly wife front soon teacher drug.,2024-11-22 16:25:47,Sent,001-509-878-7738x859,Raymond Chambers,75,Medium
206,11475,SMS,Key last course natural.,2025-01-25 22:52:10,Pending,312.327.2991x9351,Kevin Henry,86,Low
207,19942,SMS,Program benefit strong idea bring hard hard.,2024-03-17 01:51:40,Sent,713.881.1014x9958,Mrs. Natasha Banks,82,High
208,10864,SMS,Season effect behind usually its so suffer.,2024-12-17 04:48:56,Pending,631-789-4519,Daniel Smith,5,Low
209,18438,Email,Four break no culture else.,2024-02-25 08:57:24,Sent,584-641-6020,Jennifer Morgan,59,Low
210,2415,Push,Rich view drive dog off we may.,2024-08-16 23:33:40,Sent,(825)850-8499,Mrs. Deborah Nelson DDS,11,Medium
211,16193,Push,Successful organization benefit significant can visit per.,2024-06-14 01:05:32,Sent,374.786.4379x604,Victoria Johnson,59,Low
212,15197,SMS,Sell much expert different.,2024-05-10 01:33:57,Sent,001-563-365-0335,Monica Zuniga,87,Medium
213,4472,Push,High require them office live read subject then.,2024-03-02 20:25:48,Sent,597.889.1433,Nicholas Carlson,50,Medium
214,9257,Email,Woman decade analysis best.,2024-12-17 12:19:56,Failed,999-332-8808x54325,Jennifer Mckinney,5,Medium
215,7401,Push,Like mouth authority religious tell term today while.,2024-10-24 21:38:19,Failed,(650)828-1122,Tiffany Jones,3,Medium
216,1127,SMS,Moment system city particular.,2025-01-24 03:57:42,Sent,(817)899-3660x7610,Kristin Barber,94,Medium
217,13988,Email,Cover worker allow.,2024-03-31 20:35:10,Sent,001-853-910-1051x08374,Veronica Willis,23,Low
218,17433,SMS,Natural information nation team young together plan.,2024-11-05 16:44:03,Failed,(588)842-4783x12242,Jessica Diaz,69,Medium
219,3855,Push,Off get group firm possible can shake.,2024-09-03 20:34:32,Failed,+1-378-538-3009x3074,Christopher Lopez,94,Low
220,15157,Push,Treatment candidate boy compare myself series series.,2024-07-21 07:50:36,Failed,223.514.1701,Heather Ryan,21,High
221,19214,Email,Offer reach until.,2024-12-05 17:14:33,Sent,531-211-1138x606,James Brown,2,Low
222,9985,Email,Require night somebody possible another.,2024-08-26 06:01:56,Sent,556-313-7655,Erik Hall,68,High
223,7356,Push,When clear affect send.,2024-04-25 12:37:19,Pending,420.567.9414,Heather Guerra,52,High
224,4060,Push,Head final change make buy.,2024-06-10 06:06:32,Pending,681.888.6053x123,Alexis Roy,66,Low
225,9085,Push,Than listen until realize phone test.,2024-06-21 09:10:06,Sent,998-867-2973x68825,Linda Fowler,25,High
226,10644,Push,Member change them certain.,2024-10-20 18:06:30,Pending,(974)524-0113,Jennifer Archer,21,Medium
227,14263,SMS,Bed should before table read cell spend customer.,2024-09-23 21:44:30,Sent,761.682.8846,William Fowler,68,Low
228,18873,Email,White kind discover.,2024-02-05 13:00:54,Failed,985-419-7575,Randy Harrell,28,High
229,17066,SMS,Form father remain national partner.,2024-05-23 20:34:20,Sent,001-699-213-8857x986,Travis White,56,Low
230,1908,SMS,Collection if different law knowledge window sure.,2024-05-21 07:20:11,Failed,872-885-0846,Mitchell Jackson,70,Low
231,7801,SMS,Modern everyone grow to key leader bring laugh.,2025-01-10 04:55:45,Failed,2364313685,Samantha Reyes,22,Medium
232,6544,Push,Because tax say experience religious leg get practice.,2024-05-29 05:48:20,Pending,001-971-478-3755,Melissa Cooper,54,Medium
